projectID_PIMS+,projectID_Atlas,Short Title,Project Description,Lead Country,Regional Bureau,Source of Funds,VF,taxonomy_level3,Grant_amount,Co-financing,target_Electricity access,target_Clean cooking,target_Energy services,target_total,results_Electricity access,results_Clean cooking,results_Energy services,results_total,Source_documentation,nrgSaved
5331,84488,Angola Charcoal,"The Project aims to introduce energy-efficient charcoal technologies in Angola and trigger market demand for certified, sustainable charcoal. Through selected Responsible Partners, energy-efficient charcoal kilns, briquetting machines and efficient stoves will be transferred to rural and peri-urban beneficiaries, thereby adding value along the chain while creating opportunities for income and job creation. Environmental benefits are attained by mitigation of baseline greenhouse gas emissions, reduction of local pollution, and saving of forest-based biomass resources. The Project will deliver key elements for building and financing a sustainable charcoal sector, including a policy white paper and sustainability criteria and verification mechanisms. The Project will further build relevant human resources at all levels for implementing and sustaining low-emission development strategies in Angola, with a focus on charcoal and rural biomass utilization. Finally, the Project will mainstream sustainable charcoal into existing Governmental poverty reduction and rural development programs.",Angola,RBA,"GEF Trust Fund or LDCF or SCCF or other vertical fund, UNDP TRAC resources, Government of Angola, Universidad de Cordoba (UCO-ETSIAM), Spain Ajuda de Desenvolvimento de Povo a Povo (ADPP), Angola, Cooperazione e Sviluppo dei Paesi Emergenti (COSPE), Italy",Y,Others,4620000,,,,,150,,,,20,https://open.undp.org/projects/00084488,0
5684,98348,Energy Efficient Building Retrofits,"Using an integrated suite of de-risking interventions, the Project seeks to systematically de-carbonise the existing building stock in Armenia to reduce greenhouse gas (GHG) emissions while achieving sustainable development benefits.",Armenia,RBEC,"UNDP, Green Climate Fund, European Investment Bank, Armenian Government ",Y,Energy Efficiency,20000000,,,,,210000,,,,,https://open.undp.org/projects/00098348,0
5882,100067,De-Risking and Scaling-up Investment in EE,"The project seeks a total of US$ 17.346 million of GCF grant resources to overcome identified barriers to investment in low-carbon retrofits of public buildings and to leverage an additional US$ 105.22 million of co-finance from a range of sources, such as the Environmental Funds, entity and municipal budgets, and international organizations (UNDP, GEF, World Bank, SIDA), by addressing country and sector-specific investment risks.",Bosnia and Herzegovina,RBEC,"GCF, UNDP
GCF, UNDP
GCF, UNDP
",Y,Energy Efficiency,17346000,,,,,150000,,,,,https://open.undp.org/projects/00100067,0
5646,96684,Catalyzing Env.Fin. for Low-Carbon Urban Dev,"The objective of the project is to leverage investment for transformational shift towards low-carbon urban development in Bosnia and Herzegovina thereby promoting safer, cleaner, and healthier cities and reducing urban GHG emissions.",Bosnia and Herzegovina,RBEC,"Government of Bosnia and Herzegovina, Global Environment Fund Truste",Y,Energy Efficiency,2370000,,,,,15000,,,,,https://open.undp.org/projects/00096684,0
6510,118893,National child project under the GEF African Minigrid Program,,Burkina Faso,RBA,"United Nations Development Programme, Global Environment Fund",Y,Energy Access,924566,,,,,11033,,,,,https://open.undp.org/projects/00118893,0
5680,105867,Small hydropower based mini-grids,This project aims to promote investment in small hydropower-based mini-grids to provide electricity services to the rural areas and formulate an appropriate business model that will ensure the sustainability of mini-grids based on small hydropower development in the country. ,Central African Republic,RBA,"United Nations Multidimensional Integrated Stabilization Mission In The Central African Republic, Swedish International Development Cooperation (Sida), Global Environment Fund Truste, United Nations Development P",Y,Energy Access,2645000,,,,,29400,,,,,https://open.undp.org/projects/00105867,0
6469,,Comoros national child project - Africa Minigrids Program (AMP),,Comoros,RBA,"United Nations Development Programme, Global Environment Fund
United Nations Development Programme, Global Environment Fund
United Nations Development Programme, Global Environment Fund
",Y,Energy Access,1269863,,,,,3042,,,,,,0
4685,96048,Congo Micro-hydroelectricity,"The proposed UNDP-GEF project will be complementary to the baseline initiatives as it addresses barriers that are specifically related to the investment in decentralized micro and small hydropower plants, which are not covered under the baseline",Congo,RBA,"UNDP, GEF 
UNDP, GEF 
UNDP, GEF 
",Y,Energy Access,1944133,,,,,45000,,,,,https://open.undp.org/projects/00096048,0
5653,118586,Cuba Sustainable Transport,The objective of this project is to promote the implementation of a low-carbon urban transport system in the City of La Havana and deliver multiple benefits -at the local and global levels- through the integration of urban transport with land use and urban mobility. ,Cuba,RBLAC,GEF,Y,Transport,1959132,,,,,413342,,,,,https://open.undp.org/projects/00118586,0
4899,85068,CleanEnerg Cuba,"The objective of the Project is to increase access to bioenergy technology in Cuba by promoting the use of biodiesel and biogas technologies by rural farmers. Specifically, the Project will (i) strengthen government policies in support of small-scale bioenergy technologies; (ii) address technology barriers presently limiting the widespread production and dissemination of cost-effective biodigesters and biodiesel conversion plants in Cuba; (iii) establish a comprehensive network of project design, maintenance, repair and extension services for small farmers to increment local food production, generate new jobs and income, promote community resilience and recover degraded lands. ",Cuba,RBLAC,"GEF, Estación Indio Hatuey, Cubaenergia, Local manufacturers, EEIH donor programmes,  UNDP",Y,Others,2737524,,,,,88100,,,,336,https://open.undp.org/projects/00085068,0
